epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,63.2415,1.97993,3.50031,1.74847,0.01131,0.33333,0.33167,0.26328,1.4266,3.83617,1.19559,0.00022864,0.00022864,0.00022864
2,125.506,1.23048,1.8539,1.20832,0.00798,0.43556,0.35699,0.2319,1.17429,3.62841,1.12281,0.000465734,0.000465734,0.000465734
3,188.189,0.99722,1.41183,1.05672,0.99272,0.35715,0.58034,0.4032,1.04606,3.32101,1.05248,0.000696816,0.000696816,0.000696816
4,250.432,0.93952,1.23231,1.03963,0.99729,0.33333,0.58582,0.44351,1.02712,2.96779,1.13131,0.000921885,0.000921885,0.000921885
5,312.455,0.9125,1.15471,1.03878,0.98928,0.35511,0.94602,0.72705,0.88301,2.54349,1.04316,0.00114094,0.00114094,0.00114094
6,366.25,0.81501,1.08724,0.97785,0.96477,0.46926,0.995,0.74606,0.99904,2.03579,1.0479,0.00134058,0.00134058,0.00134058
7,417.031,0.83654,1.06079,0.98221,0.9705,0.98712,0.99123,0.68399,0.97634,1.53244,1.07257,0.0013229,0.0013229,0.0013229
8,469.026,0.78555,1.00707,0.95349,0.98964,0.96672,0.99491,0.80873,0.74207,1.18033,0.94561,0.00130521,0.00130521,0.00130521
9,521.702,0.68711,0.90047,0.92502,0.97528,0.99195,0.99485,0.82615,0.72851,0.95399,0.93413,0.00128753,0.00128753,0.00128753
10,583.24,0.66974,0.87782,0.91234,0.99703,1,0.995,0.82193,0.71227,0.74755,0.90988,0.00126985,0.00126985,0.00126985
11,639.813,0.61404,0.8177,0.90205,0.99795,1,0.995,0.85379,0.61129,0.6705,0.876,0.00125216,0.00125216,0.00125216
12,689.573,0.57383,0.76532,0.8855,0.99731,1,0.995,0.85421,0.62125,0.65078,0.89887,0.00123448,0.00123448,0.00123448
13,736.207,0.577,0.75529,0.87398,0.99821,1,0.995,0.83225,0.67079,0.64131,0.89159,0.00121679,0.00121679,0.00121679
14,783.357,0.55782,0.72323,0.88413,0.99762,1,0.995,0.86988,0.56592,0.59592,0.8714,0.00119911,0.00119911,0.00119911
15,832.21,0.55144,0.6951,0.86894,0.99653,0.99986,0.995,0.82391,0.65457,0.61714,0.89374,0.00118143,0.00118143,0.00118143
16,883.839,0.52383,0.68552,0.85408,0.99656,1,0.995,0.87625,0.53645,0.57817,0.85314,0.00116374,0.00116374,0.00116374
17,941.441,0.5181,0.65501,0.85049,0.99786,1,0.995,0.87962,0.51344,0.54594,0.84265,0.00114606,0.00114606,0.00114606
18,990.734,0.49091,0.63392,0.84601,0.99831,1,0.995,0.88874,0.5136,0.53105,0.83808,0.00112837,0.00112837,0.00112837
19,1035.09,0.47049,0.61067,0.83739,0.9981,1,0.995,0.90945,0.44243,0.49912,0.81822,0.00111069,0.00111069,0.00111069
20,1081.79,0.46905,0.6033,0.83688,0.99745,1,0.995,0.89139,0.49057,0.49442,0.82666,0.00109301,0.00109301,0.00109301
21,1137.45,0.43994,0.56488,0.82999,0.99849,1,0.995,0.85954,0.5729,0.52292,0.85256,0.00107532,0.00107532,0.00107532
